,NAME_CONTRACT_TYPE,NAME_TYPE_SUITE,ORGANIZATION_TYPE,DAYS_EMPLOYED,OWN_CAR_AGE
2455,Cash loans,Unaccompanied,Self-employed,-2847,
2456,Cash loans,Unaccompanied,Self-employed,-1471,
2457,Cash loans,Unaccompanied,Industry: type 11,-3001,3.0
2458,Cash loans,Unaccompanied,Business Entity Type 3,-2319,14.0
2459,Cash loans,Unaccompanied,Self-employed,-1546,
2460,Cash loans,Unaccompanied,Other,-2951,4.0
2461,Cash loans,Unaccompanied,Business Entity Type 3,-535,
2462,Cash loans,Unaccompanied,XNA,365243,10.0
2463,Cash loans,Unaccompanied,Industry: type 11,-993,
2464,Cash loans,Unaccompanied,Electricity,-3185,25.0
2465,Cash loans,Unaccompanied,Other,-2681,7.0
2466,Cash loans,Unaccompanied,Medicine,-366,
2467,Cash loans,Unaccompanied,Business Entity Type 3,-455,
2468,Cash loans,Children,XNA,365243,15.0
2469,Cash loans,Unaccompanied,Industry: type 3,-6678,
2470,Cash loans,Unaccompanied,Bank,-499,
2471,Cash loans,Unaccompanied,Security Ministries,-876,
2472,Cash loans,Unaccompanied,Business Entity Type 3,-2890,
2473,Cash loans,Unaccompanied,Business Entity Type 3,-2795,
2474,Cash loans,Unaccompanied,XNA,365243,
2475,Cash loans,Unaccompanied,Self-employed,-317,
2476,Cash loans,Unaccompanied,Industry: type 7,-4326,
2477,Cash loans,Family,XNA,365243,
2478,Cash loans,Unaccompanied,Services,-1289,
2479,Cash loans,Unaccompanied,XNA,365243,
2480,Cash loans,Unaccompanied,Medicine,-11534,7.0
2481,Cash loans,Family,Business Entity Type 2,-2118,7.0
2482,Cash loans,Unaccompanied,Medicine,-2956,
2483,Cash loans,Family,Self-employed,-3494,
2484,Cash loans,Unaccompanied,Business Entity Type 3,-4803,
2485,Cash loans,Family,Business Entity Type 3,-1568,
2486,Cash loans,Unaccompanied,Military,-3047,
2487,Cash loans,Unaccompanied,Construction,-1436,
2488,Revolving loans,Other_B,XNA,365243,
2489,Cash loans,Unaccompanied,Kindergarten,-593,
2490,Cash loans,Unaccompanied,Industry: type 13,-200,
2491,Cash loans,"Spouse, partner",Industry: type 5,-7210,13.0
2492,Cash loans,Unaccompanied,Advertising,-847,
2493,Cash loans,Unaccompanied,Business Entity Type 3,-119,11.0
2494,Cash loans,Unaccompanied,Transport: type 4,-2016,9.0
2495,Cash loans,Unaccompanied,Self-employed,-380,
2496,Cash loans,Unaccompanied,Self-employed,-2509,9.0
2497,Cash loans,Unaccompanied,Other,-10425,
2498,Cash loans,Unaccompanied,XNA,365243,
2499,Cash loans,Unaccompanied,Other,-6016,13.0
2500,Cash loans,Unaccompanied,Other,-1862,
2501,Revolving loans,Unaccompanied,Trade: type 3,-264,
2502,Cash loans,Unaccompanied,Self-employed,-781,
2503,Cash loans,Unaccompanied,Postal,-2255,
2504,Cash loans,Unaccompanied,Self-employed,-1850,
2505,Cash loans,Unaccompanied,Business Entity Type 3,-120,
2506,Cash loans,Unaccompanied,XNA,365243,
2507,Cash loans,Unaccompanied,Self-employed,-811,1.0
2508,Cash loans,Family,Self-employed,-1515,9.0
2509,Cash loans,Family,Self-employed,-5618,3.0
2510,Cash loans,Unaccompanied,Kindergarten,-3190,
2511,Cash loans,Unaccompanied,XNA,365243,
2512,Cash loans,Unaccompanied,Business Entity Type 3,-2679,
2513,Cash loans,Unaccompanied,Other,-6099,4.0
2514,Cash loans,Unaccompanied,Business Entity Type 3,-951,13.0
2515,Cash loans,Unaccompanied,Self-employed,-559,
2516,Cash loans,Unaccompanied,Government,-1197,3.0
2517,Cash loans,Unaccompanied,Trade: type 6,-149,1.0
2518,Cash loans,Unaccompanied,Business Entity Type 3,-928,11.0
2519,Cash loans,Family,Self-employed,-3462,15.0
2520,Cash loans,Unaccompanied,Business Entity Type 3,-522,
2521,Cash loans,Unaccompanied,Trade: type 7,-133,
2522,Cash loans,Unaccompanied,XNA,365243,2.0
2523,Cash loans,Family,XNA,365243,
2524,Cash loans,Unaccompanied,XNA,365243,
2525,Cash loans,Unaccompanied,Business Entity Type 3,-1904,
2526,Cash loans,Unaccompanied,XNA,365243,
2527,Cash loans,Unaccompanied,School,-5728,
2528,Cash loans,Unaccompanied,Construction,-466,
2529,Cash loans,Unaccompanied,XNA,365243,20.0
2530,Cash loans,Unaccompanied,School,-1478,
2531,Cash loans,Family,Business Entity Type 3,-2433,
2532,Cash loans,Unaccompanied,XNA,365243,
2533,Cash loans,Unaccompanied,Trade: type 7,-787,
2534,Revolving loans,Unaccompanied,Government,-1167,37.0
2535,Cash loans,Family,Transport: type 3,-3212,9.0
2536,Cash loans,Unaccompanied,Business Entity Type 3,-6678,0.0
2537,Cash loans,Family,Self-employed,-3468,
2538,Revolving loans,Unaccompanied,XNA,365243,
2539,Cash loans,Unaccompanied,XNA,365243,
2540,Cash loans,Unaccompanied,Business Entity Type 3,-1216,3.0
2541,Revolving loans,Unaccompanied,Industry: type 11,-553,0.0
2542,Cash loans,Unaccompanied,Police,-3092,
2543,Cash loans,Unaccompanied,Transport: type 4,-501,
2544,Cash loans,Unaccompanied,School,-1663,
2545,Revolving loans,Unaccompanied,Medicine,-7822,65.0
2546,Revolving loans,Unaccompanied,Government,-1276,
2547,Cash loans,Unaccompanied,Postal,-1686,7.0
2548,Cash loans,Other_B,Business Entity Type 3,-1012,1.0
2549,Cash loans,Unaccompanied,Business Entity Type 1,-14507,5.0
2550,Cash loans,Unaccompanied,Business Entity Type 3,-312,
2551,Cash loans,Unaccompanied,Business Entity Type 3,-95,
2552,Cash loans,Family,Self-employed,-2967,
2553,Cash loans,Family,School,-11466,
2554,Cash loans,Unaccompanied,Business Entity Type 3,-5051,
2555,Cash loans,Family,Industry: type 11,-2517,
2556,Cash loans,Unaccompanied,Other,-292,
2557,Cash loans,Family,XNA,365243,3.0
2558,Cash loans,Unaccompanied,Industry: type 3,-1647,
2559,Cash loans,Unaccompanied,Transport: type 2,-429,16.0
2560,Cash loans,Unaccompanied,XNA,365243,
2561,Cash loans,Unaccompanied,Self-employed,-244,7.0
2562,Revolving loans,"Spouse, partner",XNA,365243,24.0
2563,Cash loans,Unaccompanied,Restaurant,-1409,14.0
2564,Cash loans,Unaccompanied,Business Entity Type 3,-4028,
2565,Revolving loans,Unaccompanied,XNA,365243,
2566,Cash loans,Unaccompanied,XNA,365243,
2567,Cash loans,Unaccompanied,Self-employed,-3000,
2568,Cash loans,Unaccompanied,XNA,365243,
2569,Cash loans,Unaccompanied,Medicine,-1132,
2570,Cash loans,Unaccompanied,Business Entity Type 3,-359,
2571,Cash loans,Unaccompanied,Industry: type 2,-2936,19.0
2572,Cash loans,Unaccompanied,Business Entity Type 3,-1433,64.0
2573,Cash loans,Unaccompanied,Business Entity Type 3,-816,4.0
2574,Revolving loans,Unaccompanied,Business Entity Type 2,-5227,
2575,Cash loans,Family,Kindergarten,-1890,
2576,Cash loans,Unaccompanied,School,-11435,
2577,Cash loans,Unaccompanied,Business Entity Type 3,-480,7.0
2578,Cash loans,Unaccompanied,Security Ministries,-2730,13.0
2579,Cash loans,Unaccompanied,XNA,365243,17.0
2580,Cash loans,Unaccompanied,Business Entity Type 3,-1531,
2581,Cash loans,Unaccompanied,Business Entity Type 3,-1596,26.0
2582,Cash loans,Unaccompanied,XNA,365243,
2583,Revolving loans,Unaccompanied,Industry: type 9,-284,8.0
2584,Cash loans,"Spouse, partner",Government,-2917,22.0
2585,Cash loans,Unaccompanied,XNA,365243,
2586,Cash loans,Unaccompanied,Other,-3733,
2587,Cash loans,Unaccompanied,Self-employed,-3331,
2588,Cash loans,"Spouse, partner",Business Entity Type 3,-2479,3.0
2589,Cash loans,Unaccompanied,Government,-7330,
2590,Cash loans,Unaccompanied,Construction,-144,
2591,Cash loans,Unaccompanied,Business Entity Type 3,-3189,
2592,Cash loans,Unaccompanied,XNA,365243,18.0
2593,Cash loans,Unaccompanied,Self-employed,-272,
2594,Cash loans,Family,Self-employed,-1516,28.0
2595,Cash loans,Unaccompanied,XNA,365243,
2596,Cash loans,Unaccompanied,Transport: type 4,-1138,20.0
2597,Cash loans,Unaccompanied,XNA,365243,
2598,Cash loans,Unaccompanied,Self-employed,-3121,16.0
2599,Cash loans,Unaccompanied,Self-employed,-3794,13.0
2600,Cash loans,Unaccompanied,XNA,365243,
2601,Cash loans,Unaccompanied,Business Entity Type 3,-1661,6.0
2602,Cash loans,Unaccompanied,XNA,365243,
2603,Cash loans,Unaccompanied,XNA,365243,
2604,Cash loans,Unaccompanied,Industry: type 3,-1860,
2605,Cash loans,Unaccompanied,School,-1785,42.0
2606,Cash loans,Family,Self-employed,-631,
2607,Cash loans,Unaccompanied,XNA,365243,
2608,Cash loans,Unaccompanied,Business Entity Type 3,-2247,
2609,Cash loans,Unaccompanied,XNA,365243,
2610,Revolving loans,Unaccompanied,XNA,365243,4.0
2611,Cash loans,Unaccompanied,Business Entity Type 3,-2468,
2612,Revolving loans,Unaccompanied,Trade: type 2,-2143,3.0
2613,Cash loans,Unaccompanied,Medicine,-265,
2614,Cash loans,Unaccompanied,Self-employed,-4738,
2615,Cash loans,Unaccompanied,Business Entity Type 3,-1119,24.0
2616,Cash loans,Unaccompanied,Transport: type 4,-2781,13.0
2617,Cash loans,Unaccompanied,Postal,-2841,10.0
2618,Cash loans,Unaccompanied,XNA,365243,
2619,Cash loans,Unaccompanied,Business Entity Type 2,-1230,
2620,Revolving loans,Unaccompanied,Trade: type 7,-1357,
2621,Cash loans,Unaccompanied,Business Entity Type 3,-2905,
2622,Cash loans,Unaccompanied,Business Entity Type 3,-778,
2623,Cash loans,Unaccompanied,School,-8842,
2624,Cash loans,Unaccompanied,Business Entity Type 3,-1227,
2625,Cash loans,,Trade: type 3,-1801,
2626,Cash loans,Unaccompanied,Business Entity Type 3,-5574,
2627,Cash loans,Unaccompanied,Business Entity Type 2,-6587,
2628,Cash loans,Unaccompanied,XNA,365243,21.0
2629,Cash loans,Unaccompanied,XNA,365243,
2630,Revolving loans,"Spouse, partner",Business Entity Type 3,-3298,9.0
2631,Cash loans,Unaccompanied,Security,-565,
2632,Cash loans,Unaccompanied,XNA,365243,10.0
2633,Cash loans,Unaccompanied,Self-employed,-4371,2.0
2634,Cash loans,Unaccompanied,Business Entity Type 3,-4491,
2635,Cash loans,Unaccompanied,Business Entity Type 3,-619,
2636,Cash loans,Unaccompanied,Self-employed,-1872,
2637,Cash loans,Unaccompanied,Business Entity Type 3,-282,
2638,Cash loans,Unaccompanied,Self-employed,-490,0.0
2639,Cash loans,"Spouse, partner",Self-employed,-2515,
2640,Cash loans,Unaccompanied,Business Entity Type 3,-1315,7.0
2641,Cash loans,Unaccompanied,Business Entity Type 3,-407,
2642,Cash loans,Unaccompanied,Business Entity Type 3,-2109,3.0
2643,Cash loans,Unaccompanied,Other,-379,9.0
2644,Cash loans,Unaccompanied,Business Entity Type 3,-955,6.0
2645,Cash loans,Unaccompanied,Trade: type 3,-1990,
2646,Cash loans,Unaccompanied,XNA,365243,
2647,Cash loans,Unaccompanied,Other,-164,17.0
2648,Cash loans,Unaccompanied,Hotel,-993,13.0
2649,Cash loans,"Spouse, partner",XNA,365243,
2650,Cash loans,,School,-3045,8.0
2651,Cash loans,Unaccompanied,Business Entity Type 3,-1145,6.0
2652,Revolving loans,Unaccompanied,Agriculture,-1072,
2653,Cash loans,Unaccompanied,Business Entity Type 3,-186,5.0
2654,Cash loans,Unaccompanied,Business Entity Type 3,-1100,
2655,Cash loans,Family,Kindergarten,-1467,
2656,Cash loans,Unaccompanied,Industry: type 11,-1138,
2657,Cash loans,Unaccompanied,Business Entity Type 3,-822,
2658,Cash loans,Unaccompanied,Government,-258,
2659,Cash loans,Family,XNA,365243,24.0
2660,Cash loans,Unaccompanied,Business Entity Type 3,-905,
2661,Cash loans,Unaccompanied,Bank,-7698,
2662,Cash loans,Unaccompanied,Business Entity Type 3,-2849,10.0
2663,Cash loans,Unaccompanied,Self-employed,-2232,
2664,Cash loans,Unaccompanied,Self-employed,-2052,
2665,Cash loans,Unaccompanied,XNA,365243,
2666,Revolving loans,Unaccompanied,Agriculture,-4636,5.0
2667,Cash loans,Unaccompanied,School,-783,
2668,Cash loans,Unaccompanied,Other,-444,
2669,Revolving loans,Family,Self-employed,-4346,
2670,Cash loans,Unaccompanied,XNA,365243,
2671,Cash loans,Family,Medicine,-4939,
2672,Cash loans,Unaccompanied,Housing,-995,14.0
2673,Cash loans,Family,Agriculture,-1522,
2674,Cash loans,Unaccompanied,Other,-378,
2675,Cash loans,Children,Security Ministries,-12587,
2676,Cash loans,Unaccompanied,Construction,-453,22.0
2677,Cash loans,Unaccompanied,XNA,365243,
2678,Revolving loans,Unaccompanied,XNA,365243,
2679,Cash loans,Unaccompanied,XNA,365243,
2680,Cash loans,Unaccompanied,School,-11653,
2681,Cash loans,Unaccompanied,XNA,365243,
2682,Cash loans,Unaccompanied,Transport: type 4,-255,
2683,Cash loans,Unaccompanied,Other,-2965,
2684,Cash loans,Unaccompanied,Kindergarten,-1927,
2685,Cash loans,Unaccompanied,Other,-1239,22.0
2686,Revolving loans,Unaccompanied,Business Entity Type 3,-3750,
2687,Cash loans,Other_B,Business Entity Type 2,-4414,
2688,Cash loans,Unaccompanied,Self-employed,-2130,16.0
2689,Cash loans,Family,Business Entity Type 3,-2521,
2690,Cash loans,Unaccompanied,Business Entity Type 3,-2775,18.0
2691,Cash loans,Unaccompanied,Business Entity Type 3,-913,10.0
2692,Cash loans,Unaccompanied,Other,-1500,4.0
2693,Cash loans,Unaccompanied,Trade: type 7,-4854,
2694,Cash loans,Unaccompanied,Services,-1899,
2695,Cash loans,Unaccompanied,Self-employed,-2769,9.0
2696,Cash loans,Unaccompanied,Housing,-740,17.0
2697,Cash loans,Unaccompanied,Self-employed,-729,2.0
2698,Cash loans,Unaccompanied,XNA,365243,
2699,Cash loans,Unaccompanied,Security Ministries,-7318,12.0
2700,Cash loans,Unaccompanied,Culture,-2800,
2701,Cash loans,Unaccompanied,Business Entity Type 2,-5072,
2702,Revolving loans,Unaccompanied,Kindergarten,-875,
2703,Cash loans,Unaccompanied,Kindergarten,-10647,
2704,Cash loans,Unaccompanied,Other,-683,14.0
2705,Revolving loans,Unaccompanied,Business Entity Type 3,-6387,11.0
2706,Cash loans,Unaccompanied,Business Entity Type 3,-6050,10.0
2707,Cash loans,Unaccompanied,Industry: type 7,-3004,
2708,Cash loans,Unaccompanied,Business Entity Type 3,-1220,
2709,Cash loans,Unaccompanied,Business Entity Type 3,-271,
2710,Cash loans,Unaccompanied,Industry: type 11,-162,14.0
2711,Cash loans,Unaccompanied,Military,-466,13.0
2712,Cash loans,Unaccompanied,Business Entity Type 3,-465,1.0
2713,Cash loans,Unaccompanied,Other,-220,
2714,Cash loans,Unaccompanied,Business Entity Type 3,-3382,
2715,Cash loans,Unaccompanied,Business Entity Type 3,-2069,12.0
2716,Cash loans,Unaccompanied,Business Entity Type 1,-207,
2717,Cash loans,Unaccompanied,University,-11323,
2718,Cash loans,Family,Other,-269,21.0
2719,Cash loans,"Spouse, partner",Medicine,-498,
2720,Cash loans,Unaccompanied,Security,-1707,14.0
2721,Cash loans,Unaccompanied,Kindergarten,-2638,
2722,Cash loans,Unaccompanied,Security,-781,11.0
2723,Cash loans,Unaccompanied,Business Entity Type 3,-1121,11.0
2724,Revolving loans,Unaccompanied,Security,-923,2.0
2725,Cash loans,Unaccompanied,Agriculture,-2742,
2726,Cash loans,Family,Medicine,-11013,
2727,Cash loans,Unaccompanied,XNA,365243,
2728,Cash loans,Unaccompanied,Government,-939,
2729,Cash loans,Unaccompanied,Housing,-1997,
2730,Cash loans,Unaccompanied,Business Entity Type 3,-1234,
2731,Cash loans,Unaccompanied,Medicine,-6162,
2732,Cash loans,Unaccompanied,Kindergarten,-9649,
2733,Cash loans,Unaccompanied,Transport: type 4,-464,
2734,Cash loans,Unaccompanied,Business Entity Type 1,-1842,
2735,Cash loans,Unaccompanied,XNA,365243,
2736,Cash loans,Unaccompanied,Transport: type 2,-4859,
2737,Cash loans,Unaccompanied,Security,-1540,
2738,Cash loans,Unaccompanied,Business Entity Type 3,-1866,3.0
2739,Cash loans,Unaccompanied,Business Entity Type 2,-5949,
2740,Cash loans,Unaccompanied,Industry: type 11,-4475,
2741,Cash loans,Unaccompanied,XNA,365243,
2742,Cash loans,Unaccompanied,Government,-1937,12.0
2743,Cash loans,Unaccompanied,Business Entity Type 2,-2698,
2744,Cash loans,"Spouse, partner",Medicine,-188,26.0
2745,Revolving loans,Family,Self-employed,-628,17.0
2746,Cash loans,Unaccompanied,Self-employed,-1766,
2747,Cash loans,Unaccompanied,XNA,365243,
2748,Cash loans,Unaccompanied,Military,-2705,5.0
2749,Cash loans,Unaccompanied,Business Entity Type 3,-4213,11.0
2750,Cash loans,Family,Business Entity Type 3,-3362,
2751,Cash loans,Unaccompanied,Industry: type 9,-489,1.0
2752,Cash loans,Family,XNA,365243,13.0
2753,Revolving loans,Unaccompanied,Government,-8572,
2754,Cash loans,Unaccompanied,Trade: type 3,-358,17.0
2755,Cash loans,Unaccompanied,Self-employed,-386,
2756,Cash loans,Unaccompanied,Business Entity Type 3,-1413,
2757,Cash loans,Family,Business Entity Type 1,-2267,
2758,Cash loans,Unaccompanied,Industry: type 3,-1767,
2759,Cash loans,Unaccompanied,XNA,365243,
2760,Cash loans,Unaccompanied,Business Entity Type 3,-458,
2761,Cash loans,Unaccompanied,XNA,365243,
2762,Cash loans,Unaccompanied,XNA,365243,
2763,Cash loans,Unaccompanied,XNA,365243,
2764,Revolving loans,Family,XNA,365243,
2765,Cash loans,Unaccompanied,Kindergarten,-2254,
2766,Cash loans,Unaccompanied,Other,-905,
2767,Cash loans,Unaccompanied,XNA,365243,
2768,Cash loans,Family,Government,-2612,
2769,Cash loans,Unaccompanied,Industry: type 3,-1835,
2770,Cash loans,Unaccompanied,Business Entity Type 2,-5810,8.0
2771,Cash loans,Unaccompanied,XNA,365243,
2772,Revolving loans,Unaccompanied,Self-employed,-1253,
2773,Cash loans,Unaccompanied,XNA,365243,
2774,Cash loans,Unaccompanied,Business Entity Type 3,-1623,
2775,Cash loans,Unaccompanied,Trade: type 7,-1293,10.0
2776,Cash loans,Unaccompanied,Other,-4139,
2777,Cash loans,Family,Business Entity Type 3,-95,
2778,Cash loans,Unaccompanied,Self-employed,-2432,
2779,Cash loans,Unaccompanied,Medicine,-8964,
2780,Cash loans,Unaccompanied,Self-employed,-5393,
2781,Cash loans,Unaccompanied,Industry: type 1,-526,10.0
2782,Cash loans,Unaccompanied,Self-employed,-788,22.0
2783,Revolving loans,Unaccompanied,Trade: type 3,-499,
2784,Cash loans,Unaccompanied,Business Entity Type 3,-1049,20.0
2785,Cash loans,Unaccompanied,Business Entity Type 3,-2774,3.0
2786,Cash loans,Unaccompanied,XNA,365243,
2787,Cash loans,Unaccompanied,Business Entity Type 3,-967,
2788,Cash loans,Unaccompanied,Business Entity Type 3,-1146,
2789,Cash loans,Unaccompanied,Self-employed,-2429,
2790,Cash loans,Family,XNA,365243,7.0
2791,Cash loans,Family,School,-286,
2792,Cash loans,Unaccompanied,Self-employed,-5379,
2793,Cash loans,Unaccompanied,Business Entity Type 3,-1427,2.0
2794,Cash loans,Family,Business Entity Type 3,-1069,
2795,Cash loans,Unaccompanied,Medicine,-8583,7.0
2796,Cash loans,Unaccompanied,Security Ministries,-5046,
2797,Cash loans,Unaccompanied,Other,-1807,17.0
2798,Cash loans,Unaccompanied,XNA,365243,
2799,Cash loans,Unaccompanied,Business Entity Type 3,-381,3.0
2800,Cash loans,Unaccompanied,Self-employed,-2339,
2801,Cash loans,Family,Business Entity Type 1,-3811,
2802,Cash loans,Unaccompanied,XNA,365243,16.0
2803,Cash loans,Unaccompanied,Other,-291,11.0
2804,Cash loans,Unaccompanied,XNA,365243,
2805,Cash loans,Family,Self-employed,-2152,15.0
2806,Cash loans,Unaccompanied,XNA,365243,
2807,Cash loans,Unaccompanied,XNA,365243,9.0
2808,Revolving loans,Unaccompanied,Self-employed,-1149,
2809,Cash loans,Unaccompanied,Other,-2049,
2810,Cash loans,Unaccompanied,XNA,365243,6.0
2811,Cash loans,Unaccompanied,Business Entity Type 2,-2409,
2812,Cash loans,Family,Business Entity Type 3,-1204,1.0
2813,Cash loans,Unaccompanied,Other,-357,
2814,Cash loans,Unaccompanied,Business Entity Type 3,-229,
2815,Cash loans,Unaccompanied,Business Entity Type 3,-4079,6.0
2816,Cash loans,Unaccompanied,Other,-1740,
2817,Cash loans,Unaccompanied,Business Entity Type 3,-207,
2818,Cash loans,Family,XNA,365243,
2819,Cash loans,Unaccompanied,Trade: type 7,-592,
2820,Cash loans,Unaccompanied,Business Entity Type 1,-181,
2821,Cash loans,Unaccompanied,Business Entity Type 3,-96,
2822,Cash loans,Unaccompanied,Government,-3266,6.0
2823,Cash loans,Unaccompanied,Self-employed,-836,
2824,Cash loans,Unaccompanied,Industry: type 11,-10178,14.0
2825,Cash loans,Unaccompanied,Business Entity Type 3,-3799,
2826,Cash loans,Family,XNA,365243,
2827,Revolving loans,Unaccompanied,XNA,365243,6.0
2828,Revolving loans,Family,Business Entity Type 3,-365,
2829,Cash loans,Unaccompanied,XNA,365243,
2830,Cash loans,Unaccompanied,XNA,365243,
2831,Revolving loans,Family,Government,-4444,
2832,Cash loans,Unaccompanied,Business Entity Type 2,-673,16.0
2833,Cash loans,Unaccompanied,Self-employed,-1701,15.0
2834,Cash loans,Unaccompanied,Self-employed,-758,8.0
2835,Cash loans,Unaccompanied,Business Entity Type 3,-1564,
2836,Cash loans,Unaccompanied,Business Entity Type 3,-3099,
2837,Cash loans,Unaccompanied,Other,-3041,
2838,Cash loans,Unaccompanied,Security,-4095,6.0
2839,Cash loans,"Spouse, partner",Other,-7362,8.0
2840,Cash loans,Unaccompanied,Medicine,-489,
2841,Cash loans,Unaccompanied,Transport: type 4,-550,
2842,Cash loans,Family,Business Entity Type 3,-2028,
2843,Cash loans,Unaccompanied,Business Entity Type 3,-2721,
2844,Cash loans,"Spouse, partner",XNA,365243,
2845,Cash loans,Family,Self-employed,-2581,
2846,Cash loans,Unaccompanied,XNA,365243,
2847,Cash loans,Unaccompanied,Other,-486,
2848,Cash loans,Unaccompanied,Trade: type 6,-4213,
2849,Cash loans,Unaccompanied,Housing,-2949,
2850,Cash loans,Unaccompanied,XNA,365243,
2851,Cash loans,Unaccompanied,XNA,365243,
2852,Cash loans,Children,Business Entity Type 3,-1824,
2853,Cash loans,Unaccompanied,Self-employed,-2100,
2854,Cash loans,Unaccompanied,XNA,365243,
2855,Cash loans,Unaccompanied,Medicine,-5717,
2856,Cash loans,Unaccompanied,XNA,365243,
2857,Cash loans,Unaccompanied,Business Entity Type 2,-4092,
2858,Cash loans,Unaccompanied,Kindergarten,-2035,
2859,Cash loans,Unaccompanied,XNA,365243,
2860,Cash loans,Unaccompanied,XNA,365243,13.0
2861,Cash loans,Unaccompanied,XNA,365243,
2862,Cash loans,Unaccompanied,Business Entity Type 3,-1345,
2863,Cash loans,Unaccompanied,Industry: type 5,-8595,
2864,Cash loans,Unaccompanied,Self-employed,-85,
2865,Cash loans,Unaccompanied,Business Entity Type 2,-3696,
2866,Cash loans,Unaccompanied,XNA,365243,
2867,Cash loans,Unaccompanied,Self-employed,-410,16.0
2868,Cash loans,Unaccompanied,Government,-3753,
2869,Cash loans,Unaccompanied,Business Entity Type 3,-651,15.0
2870,Cash loans,Unaccompanied,Construction,-1466,
2871,Cash loans,Unaccompanied,Government,-383,
2872,Cash loans,Unaccompanied,XNA,365243,
2873,Revolving loans,Family,Transport: type 2,-8861,17.0
2874,Cash loans,Unaccompanied,Business Entity Type 3,-3653,23.0
2875,Cash loans,Family,Medicine,-5711,
2876,Cash loans,Unaccompanied,Housing,-1852,
2877,Cash loans,Unaccompanied,Self-employed,-4157,4.0
2878,Cash loans,Unaccompanied,Trade: type 7,-2105,0.0
2879,Cash loans,Unaccompanied,Business Entity Type 3,-1323,
2880,Cash loans,Unaccompanied,Bank,-2840,6.0
2881,Cash loans,Family,Self-employed,-7789,22.0
2882,Cash loans,Unaccompanied,Construction,-654,
2883,Revolving loans,Unaccompanied,Business Entity Type 3,-705,
2884,Cash loans,Unaccompanied,Business Entity Type 3,-1132,15.0
2885,Revolving loans,Unaccompanied,School,-9713,
2886,Cash loans,Unaccompanied,School,-8171,
2887,Cash loans,Unaccompanied,Self-employed,-1620,7.0
2888,Cash loans,"Spouse, partner",Hotel,-1782,7.0
2889,Cash loans,Unaccompanied,XNA,365243,
2890,Cash loans,Unaccompanied,XNA,365243,
2891,Cash loans,Unaccompanied,XNA,365243,
2892,Cash loans,Unaccompanied,Business Entity Type 3,-2860,
2893,Cash loans,Unaccompanied,Other,-1463,
2894,Cash loans,Children,XNA,365243,
2895,Cash loans,Unaccompanied,Business Entity Type 1,-179,
2896,Cash loans,Family,Agriculture,-4314,20.0
2897,Cash loans,Unaccompanied,School,-3279,14.0
2898,Cash loans,Family,XNA,365243,
2899,Cash loans,Unaccompanied,Business Entity Type 3,-687,
2900,Cash loans,Unaccompanied,Medicine,-1172,
2901,Cash loans,Unaccompanied,University,-1060,8.0
2902,Cash loans,Unaccompanied,Kindergarten,-5094,
2903,Cash loans,Unaccompanied,Other,-781,
2904,Cash loans,Unaccompanied,Other,-325,
2905,Cash loans,Family,XNA,365243,
2906,Cash loans,Unaccompanied,Business Entity Type 2,-10357,7.0
2907,Cash loans,Unaccompanied,XNA,365243,
2908,Cash loans,Unaccompanied,Self-employed,-762,
2909,Cash loans,Unaccompanied,Government,-6961,
2910,Cash loans,Unaccompanied,XNA,365243,3.0
2911,Cash loans,Unaccompanied,Business Entity Type 3,-489,
2912,Cash loans,Unaccompanied,Business Entity Type 3,-8781,
2913,Cash loans,Unaccompanied,XNA,365243,
2914,Cash loans,Unaccompanied,Government,-394,15.0
2915,Cash loans,Unaccompanied,Trade: type 3,-123,6.0
2916,Cash loans,Unaccompanied,XNA,365243,24.0
2917,Cash loans,Unaccompanied,Business Entity Type 3,-946,
2918,Cash loans,Family,Hotel,-1829,
2919,Revolving loans,Unaccompanied,Industry: type 9,-5360,
2920,Cash loans,Unaccompanied,Business Entity Type 3,-189,23.0
2921,Cash loans,Unaccompanied,Government,-534,
2922,Cash loans,Unaccompanied,Business Entity Type 3,-2613,3.0
2923,Revolving loans,Unaccompanied,Kindergarten,-210,
2924,Revolving loans,Unaccompanied,Business Entity Type 2,-6237,
2925,Cash loans,Unaccompanied,Transport: type 4,-942,
2926,Cash loans,Unaccompanied,Business Entity Type 2,-3287,4.0
2927,Cash loans,Family,Business Entity Type 2,-7847,
2928,Revolving loans,Unaccompanied,Self-employed,-696,5.0
2929,Revolving loans,Unaccompanied,Medicine,-1507,
2930,Cash loans,Family,Other,-1252,28.0
2931,Cash loans,Family,XNA,365243,
2932,Cash loans,Unaccompanied,Industry: type 5,-6672,
2933,Cash loans,Family,Business Entity Type 3,-1547,20.0
2934,Revolving loans,Unaccompanied,Self-employed,-1780,
2935,Cash loans,Children,Business Entity Type 3,-7058,
2936,Revolving loans,Unaccompanied,Business Entity Type 3,-791,
2937,Cash loans,Unaccompanied,XNA,365243,
2938,Cash loans,"Spouse, partner",Business Entity Type 3,-429,2.0
2939,Cash loans,Unaccompanied,Business Entity Type 3,-1051,
2940,Cash loans,Unaccompanied,XNA,365243,
2941,Cash loans,Unaccompanied,Other,-2909,
2942,Cash loans,"Spouse, partner",Telecom,-12884,
2943,Cash loans,Unaccompanied,Business Entity Type 3,-3566,
2944,Cash loans,Unaccompanied,Self-employed,-2477,
2945,Cash loans,Unaccompanied,Business Entity Type 3,-920,
2946,Cash loans,Family,XNA,365243,
